category,emotion,count,total,percentage
class,neutral,135,442,30.542986425339368
class,sad,135,442,30.542986425339368
class,happy,70,442,15.837104072398189
class,fear,34,442,7.6923076923076925
class,surprise,28,442,6.334841628959276
commercial,happy,421,1775,23.718309859154928
commercial,neutral,415,1775,23.380281690140844
commercial,sad,358,1775,20.16901408450704
commercial,anger,186,1775,10.47887323943662
commercial,disgust,175,1775,9.859154929577464
dating,happy,198,584,33.9041095890411
dating,neutral,140,584,23.972602739726025
dating,sad,71,584,12.157534246575343
dating,surprise,53,584,9.075342465753424
dating,disgust,49,584,8.39041095890411
driving,neutral,336,1048,32.06106870229007
driving,sad,322,1048,30.725190839694655
driving,happy,143,1048,13.64503816793893
driving,anger,98,1048,9.351145038167939
driving,disgust,85,1048,8.110687022900763
family,happy,184,701,26.24821683309558
family,neutral,180,701,25.677603423680456
family,sad,86,701,12.268188302425106
family,disgust,84,701,11.982881597717546
family,surprise,81,701,11.554921540656206
funeral,neutral,97,156,62.17948717948718
funeral,happy,31,156,19.871794871794872
funeral,sad,10,156,6.41025641025641
funeral,surprise,6,156,3.8461538461538463
funeral,anger,5,156,3.205128205128205
game show,happy,331,1146,28.883071553228625
game show,neutral,272,1146,23.7347294938918
game show,sad,266,1146,23.211169284467715
game show,disgust,126,1146,10.99476439790576
game show,surprise,80,1146,6.980802792321117
kids,surprise,47,164,28.65853658536585
kids,neutral,34,164,20.73170731707317
kids,happy,23,164,14.02439024390244
kids,disgust,19,164,11.585365853658537
kids,sad,17,164,10.365853658536585
live sitcom taping,sad,126,436,28.899082568807337
live sitcom taping,neutral,95,436,21.788990825688074
live sitcom taping,happy,92,436,21.100917431192663
live sitcom taping,anger,57,436,13.073394495412844
live sitcom taping,surprise,30,436,6.8807339449541285
magic show,happy,73,164,44.51219512195122
magic show,sad,27,164,16.463414634146343
magic show,surprise,17,164,10.365853658536585
magic show,anger,16,164,9.75609756097561
magic show,fear,11,164,6.707317073170732
movie press junket,neutral,89,280,31.785714285714285
movie press junket,sad,72,280,25.71428571428571
movie press junket,happy,52,280,18.571428571428573
movie press junket,anger,33,280,11.785714285714285
movie press junket,surprise,18,280,6.428571428571428
movie trailer,happy,15,57,26.31578947368421
movie trailer,sad,12,57,21.052631578947366
movie trailer,neutral,11,57,19.298245614035086
movie trailer,anger,7,57,12.280701754385964
movie trailer,fear,7,57,12.280701754385964
music,neutral,132,399,33.08270676691729
music,sad,107,399,26.81704260651629
music,happy,81,399,20.30075187969925
music,surprise,30,399,7.518796992481203
music,anger,26,399,6.516290726817042
office,neutral,1616,5619,28.759565759031858
office,sad,1200,5619,21.356113187399895
office,happy,1155,5619,20.5552589428724
office,surprise,604,5619,10.749243637657946
office,disgust,473,5619,8.417867948033459
party,neutral,1376,4722,29.140194832698008
party,happy,1212,4722,25.667090216010163
party,sad,1005,4722,21.28335451080051
party,surprise,372,4722,7.878017789072427
party,anger,327,4722,6.925031766200762
reality tv,sad,260,738,35.230352303523034
reality tv,neutral,160,738,21.680216802168022
reality tv,happy,122,738,16.53116531165312
reality tv,anger,93,738,12.601626016260163
reality tv,disgust,68,738,9.214092140921409
restaurant,sad,332,1000,33.2
restaurant,neutral,267,1000,26.700000000000003
restaurant,happy,203,1000,20.3
restaurant,surprise,70,1000,7.000000000000001
restaurant,anger,48,1000,4.8
revenge,happy,66,188,35.1063829787234
revenge,neutral,61,188,32.4468085106383
revenge,sad,49,188,26.063829787234045
revenge,fear,7,188,3.723404255319149
revenge,surprise,5,188,2.6595744680851063
sci-fi/fantasy,neutral,96,239,40.1673640167364
sci-fi/fantasy,happy,66,239,27.615062761506277
sci-fi/fantasy,sad,35,239,14.644351464435147
sci-fi/fantasy,surprise,24,239,10.0418410041841
sci-fi/fantasy,anger,8,239,3.3472803347280333
social media,happy,57,139,41.007194244604314
social media,sad,48,139,34.53237410071942
social media,disgust,15,139,10.79136690647482
social media,neutral,15,139,10.79136690647482
social media,anger,2,139,1.4388489208633095
theatre,neutral,51,186,27.419354838709676
theatre,happy,41,186,22.043010752688172
theatre,surprise,37,186,19.892473118279568
theatre,sad,27,186,14.516129032258066
theatre,anger,13,186,6.989247311827956
tour,sad,183,420,43.57142857142857
tour,neutral,99,420,23.57142857142857
tour,happy,90,420,21.428571428571427
tour,anger,24,420,5.714285714285714
tour,fear,13,420,3.0952380952380953
