sentiment_label,count,percentage,simplified_label
neutral,3718,57,neutral
curiosity,510,8,happy
approval,368,6,happy
anger,333,5,anger
admiration,268,4,happy
disapproval,199,3,sad
confusion,135,2,surprise
surprise,113,2,surprise
annoyance,107,2,anger
gratitude,80,1,happy
sadness,77,1,sad
joy,67,1,happy
caring,67,1,happy
love,66,1,happy
amusement,66,1,happy
excitement,61,1,surprise
remorse,52,1,sad
desire,48,1,happy
optimism,41,1,happy
disappointment,32,0,sad
fear,31,0,fear
disgust,25,0,disgust
realization,18,0,surprise
embarrassment,14,0,disgust
nervousness,13,0,fear
